ID_Record,Account,Branch,External ID,Business Status,Company Name,Account Type,Creation Date,Modified Date,Closed Date,Business TAG,Security Category,Flag Closed Date vs Modified Date,Flag Closed Date vs Creation Date,Flag Closed Date vs Status
877,877,4QKH,4QKH0877,CLOSED,,GLKB,2001-03-24,2007-11-09,2022-09-10,ZKV,2,N,N,N
273,273,0NSI,0NSI0273,ACTIVE,Epic Creative Networks,YAKT,1991-12-17,,,TXS,5,N,N,N
373,373,2SRB,9NKO0444,ACTIVE,Proactive Power Solutions,VCKM,2006-10-18,2010-01-04,,ZKV,3,N,N,N
653,653,2NRN,2NRN0653,ACTIVE,Infinite Global Industries,GLKB,2011-07-22,2011-08-26,,XRA,1,N,N,N
913,913,3NCQ,3NCQ0913,HISTORY,Excellent Synergy Group,YAKT,2005-04-04,2006-09-28,2021-05-07,TXS,3,N,N,N
249,249,4BSY,4BSY0249,ACTIVE,Omega Digital Labs,VBCW,2000-06-01,2014-06-30,,ZKV,4,N,N,N
710,710,0MXY,8XJR0126,ACTIVE,Acme Forward Services,VBCW,1997-12-11,2002-06-08,,ZKV,4,N,N,N
485,485,4XQB,4XQB0485,ACTIVE,Excellent Sustainable Enterprises,UANS,1998-11-02,2018-09-08,,ZKV,3,N,N,N
786,786,0BCQ,8XBE0600,CLOSED,Prime Transformative Consulting,HAYQ,2005-03-10,2010-09-29,2020-04-07,ZKV,2,N,N,N
994,994,3FRM,3FRM0994,ACTIVE,,UANS,2011-09-28,2013-12-18,,XRA,5,N,N,N
338,338,0ZNH,5ZNO0878,ACTIVE,Epic Digital Enterprises,HAYQ,1999-02-06,2000-01-14,,TXS,0,N,N,N
88,88,8NXE,8NXE0088,ACTIVE,Proactive Sustainable Dynamics,HERA,2011-01-23,2023-04-07,,TXS,0,N,N,N
552,552,3GSL,3GSL0552,HISTORY,,GLKB,2008-12-13,2011-05-07,2023-06-10,XRA,1,N,N,N
325,325,2SNM,2SNM0325,ACTIVE,Ultimate Visionary Solutions,VBCW,1991-06-17,1994-08-03,,XRA,0,N,N,N
230,230,8GBC,8GBC0230,ACTIVE,,VCKM,1998-02-01,2003-02-19,,TXS,5,N,N,N
693,693,8QEP,8QEP0693,ACTIVE,Elite Creative Solutions,VCKM,1997-04-07,2011-03-13,,TXS,3,N,N,N
571,571,4RSX,4RSX0571,HISTORY,Excellent Smart Solutions,HAYQ,2000-11-20,2010-08-20,1996-12-25,ZKV,4,Y,Y,N
88,88,5YQL,0JOT0653,HISTORY,Swift Synergy Consulting,YAKT,2003-12-02,2023-12-27,2024-01-23,TXS,5,N,N,N
953,953,0MXM,7IUA0141,ACTIVE,Superior Ingenious Consulting,XEXM,2020-01-03,2020-11-13,,ZKV,2,N,N,N
157,157,3YQY,3YQY0157,ACTIVE,Acme Strive Enterprises,VCKM,2019-12-30,2021-07-29,,XRA,2,N,N,N
356,356,0GTU,0GTU0356,ACTIVE,Proactive Tech Ventures,VCKM,1990-06-23,1993-07-31,,TXS,2,N,N,N
846,846,1PNZ,1PNZ0846,ACTIVE,Superior Synergy Solutions,VCKM,2005-02-06,2021-09-28,,ZKV,5,N,N,N
101,101,2GJK,2GJK0101,ACTIVE,,XEXM,1997-06-14,2002-08-21,,ZKV,1,N,N,N
356,356,0ZKT,7TIS0923,ACTIVE,Innovative Impactful Group,YAKT,2012-08-10,,,XRA,2,N,N,N
328,328,9MRN,9MRN0328,CLOSED,,VBCW,2015-02-07,2018-02-25,2015-01-05,TXS,0,Y,Y,N
228,228,6SIM,6SIM0228,HISTORY,Creative Inspire Group,VCKM,2011-07-07,2019-03-20,2020-09-22,XRA,0,N,N,N
194,194,5RZO,5RZO0194,ACTIVE,Global Sustainable Services,YAKT,1998-06-13,2022-07-15,1992-03-03,TXS,4,Y,Y,Y
71,71,5MVM,8BDW0829,CLOSED,Brilliant Evolve Consulting,WASB,2010-08-26,2014-07-05,2015-04-20,XRA,1,N,N,N
996,996,5FFC,2IJF0028,HISTORY,Epic Strive Enterprises,XEXM,2007-02-15,2016-07-22,2023-06-19,XRA,1,N,N,N
886,886,2NKZ,9BVN0474,ACTIVE,Vibrant Revolutionary Labs,HAYQ,2006-11-13,,1992-04-08,XRA,1,N,Y,Y
337,337,9XZO,9XZO0337,ACTIVE,Dynamic Tech Technologies,UANS,2005-05-18,2014-06-08,1996-06-05,ZKV,5,Y,Y,Y
619,619,4OMQ,4OMQ0619,ACTIVE,Omega Transformative Solutions,HERA,1991-12-06,2020-07-30,1991-08-24,ZKV,4,Y,Y,Y
915,915,7YCC,7YCC0915,ACTIVE,Strategic Progressive Innovations,VCKM,1990-06-04,2015-01-24,1990-03-30,XRA,3,Y,Y,Y
623,623,3ZNC,4DBY0051,ACTIVE,,HAYQ,1992-08-19,2002-02-04,,ZKV,3,N,N,N
440,440,1RKQ,1RKQ0440,CLOSED,Innovative Inspire Labs,GLKB,2009-04-30,2017-09-13,2018-11-20,ZKV,3,N,N,N
651,651,5MPD,5MPD0651,ACTIVE,Apex Strive Technologies,HAYQ,2006-02-22,2016-05-15,2003-03-19,ZKV,4,Y,Y,Y
92,92,9OFS,9OFS0092,ACTIVE,Tech Sustainable Enterprises,YAKT,2022-02-19,2023-01-03,,TXS,5,N,N,N
938,938,9MON,9MON0938,ACTIVE,Strategic Global Enterprises,VCKM,2001-12-20,2023-02-20,1990-08-02,TXS,1,Y,Y,Y
950,950,0CRD,0CRD0950,CLOSED,Diverse Global Group,VCKM,2004-05-28,2023-05-07,1995-07-19,TXS,3,Y,Y,N
986,986,2YNO,2YNO0986,ACTIVE,Pioneer Strategic Group,HAYQ,2002-07-04,2004-02-09,,XRA,5,N,N,N
66,66,1QKE,1QKE0066,HISTORY,Creative Future Enterprises,UANS,2001-07-15,2005-10-06,2021-08-12,XRA,3,N,N,N
710,710,2NNO,1NBS0604,ACTIVE,Tech Global Consulting,WASB,2017-07-20,2023-10-07,,TXS,5,N,N,N
619,619,1SXF,1SXF0619,ACTIVE,Superior Dynamic Services,UANS,1992-01-16,1996-04-16,,XRA,4,N,N,N
845,845,2NVO,2NVO0845,ACTIVE,Innovative Evolve Systems,GLKB,2009-01-03,2015-11-11,1995-06-13,XRA,4,Y,Y,Y
343,343,0LHN,0LHN0343,HISTORY,Flexible Progressive Solutions,HAYQ,1998-02-27,2023-11-10,2024-01-14,TXS,0,N,N,N
813,813,6HPI,6HPI0813,ACTIVE,Strategic Inspiration Ventures,YAKT,1999-11-28,2001-03-20,,XRA,4,N,N,N
708,708,8GHW,0TMZ0159,CLOSED,Prime Synergistic Services,GLKB,2010-07-25,2020-01-25,2023-12-18,ZKV,2,N,N,N
659,659,1WOU,1WOU0659,ACTIVE,Global Dynamic Networks,XEXM,2016-10-11,2022-08-12,,ZKV,0,N,N,N
853,853,5LPO,3GSL0552,ACTIVE,Brilliant Impactful Solutions,YAKT,1997-01-21,2004-01-04,1991-07-29,TXS,2,Y,Y,Y
441,441,5UYR,7IMT0823,ACTIVE,Strategic Creative Solutions,VCKM,1992-01-31,2017-01-31,,TXS,3,N,N,N
6,6,2QYH,8XJR0126,ACTIVE,,VCKM,1992-02-08,,,XRA,3,N,N,N
233,233,9RJV,1JSX0800,ACTIVE,Superior Dynamic Innovations,HAYQ,2020-09-05,2023-05-21,,ZKV,3,N,N,N
346,346,2BVM,2BVM0346,ACTIVE,Brilliant Innovative Consulting,GLKB,1993-03-20,2012-12-08,,XRA,4,N,N,N
273,273,3NOC,3NOC0273,ACTIVE,Flexible Synergy Dynamics,HAYQ,1993-12-17,1998-07-31,,ZKV,0,N,N,N
818,818,7TJJ,7TJJ0818,ACTIVE,Innovative Precision Corp,YAKT,2002-10-09,2005-08-16,,TXS,4,N,N,N
953,953,5WRH,5WRH0953,ACTIVE,Pioneer Global Enterprises,WASB,2003-03-30,2022-10-05,2001-06-22,TXS,5,Y,Y,Y
445,445,0EWK,0EWK0445,ACTIVE,Proactive Sustainable Solutions,YAKT,2019-03-08,2019-06-11,,ZKV,1,N,N,N
717,717,9NLR,7GBM0421,CLOSED,Acme Visionary Group,VCKM,2007-12-07,2015-11-02,2022-07-16,ZKV,1,N,N,N
109,109,1YDB,1YDB0109,HISTORY,Epic Strive Group,VBCW,2017-12-25,2020-02-10,2021-12-25,TXS,2,N,N,N
206,206,6OZQ,6OZQ0206,ACTIVE,Alpha Evolution Corp,WASB,2003-05-04,2021-09-20,,TXS,5,N,N,N
933,933,4BDH,4BDH0933,ACTIVE,Ultimate Visionary Technologies,XEXM,2015-02-27,2016-04-12,,XRA,3,N,N,N
454,454,1UTE,1UTE0454,ACTIVE,Mega Vision Systems,HERA,2000-11-21,2001-02-03,,XRA,0,N,N,N
278,278,1SRV,1FYH0642,HISTORY,Creative Progressive Enterprises,GLKB,1995-10-25,2013-03-11,2023-10-19,ZKV,4,N,N,N
928,928,0DLO,6TEA0222,HISTORY,Proactive Evolve Solutions,WASB,2010-09-11,2012-04-18,2021-10-01,XRA,3,N,N,N
710,710,8AYE,8AYE0710,ACTIVE,Fusion Evolve Networks,XEXM,2001-11-28,2003-05-05,,XRA,0,N,N,N
596,596,3LHV,3LHV0596,ACTIVE,Creative Strive Technologies,XEXM,2013-07-21,2015-02-03,,ZKV,1,N,N,N
472,472,2RGV,0VHG0143,ACTIVE,Ultimate Synergy Consulting,HERA,1995-12-10,2016-11-02,,XRA,2,N,N,N
130,130,9RTI,5NPF0508,ACTIVE,Brilliant Strive Technologies,HAYQ,2014-07-17,2016-07-08,,TXS,3,N,N,N
277,277,6DWQ,6DWQ0277,ACTIVE,Excellent Visionary Solutions,YAKT,2000-10-30,2009-02-14,1995-10-07,XRA,5,Y,Y,Y
639,639,2JQV,2JQV0639,CLOSED,,VBCW,2019-06-14,2023-08-03,2023-11-24,ZKV,5,N,N,N
215,215,1BAK,1BAK0215,ACTIVE,Elite Power Networks,VCKM,2009-09-05,2012-01-28,1995-07-18,TXS,2,Y,Y,Y
547,547,9TBR,9TBR0547,ACTIVE,Brilliant Sustainable Ventures,YAKT,2006-05-14,2022-01-14,,ZKV,0,N,N,N
593,593,1QCP,1QCP0593,ACTIVE,Diverse Sustainable Industries,HERA,2023-02-07,2023-08-08,,ZKV,2,N,N,N
126,126,8XJR,8XJR0126,ACTIVE,Apex Smart Co,GLKB,2019-08-02,2023-05-26,,TXS,3,N,N,N
422,422,1XGO,1XGO0422,ACTIVE,Diverse Innovative Innovations,WASB,1998-07-28,2019-04-02,,TXS,2,N,N,N
699,699,5EEU,5EEU0699,ACTIVE,Vibrant Vision Solutions,GLKB,2010-11-27,2021-12-19,,ZKV,0,N,N,N
640,640,3JCJ,3JCJ0640,ACTIVE,Innovative Strive Systems,WASB,1993-10-21,2001-01-15,,TXS,4,N,N,N
912,912,4LOW,4LOW0912,ACTIVE,Global Strive Dynamics,XEXM,1993-11-02,2021-03-30,,ZKV,5,N,N,N
713,713,4QML,4QML0713,CLOSED,Global Synergistic Technologies,YAKT,2011-04-02,2015-11-11,2021-12-30,XRA,1,N,N,N
988,988,4RXT,4RXT0988,HISTORY,Swift Dynamic Group,GLKB,2006-04-10,2019-09-01,2022-10-23,ZKV,1,N,N,N
840,840,2ITA,3HUD0850,ACTIVE,Creative Strive Ventures,VBCW,2007-11-10,2017-03-31,,ZKV,5,N,N,N
121,121,8PVE,0MXY0710,ACTIVE,Epic Cutting-Edge Services,YAKT,2005-03-05,,,TXS,2,N,N,N
874,874,4LBC,5AKE0957,ACTIVE,Dynamic Ingenious Group,WASB,2019-06-15,2023-10-24,,TXS,2,N,N,N
641,641,0YSF,0YSF0641,ACTIVE,Flexible Inspiration Enterprises,VCKM,1991-05-07,2001-04-13,,TXS,1,N,N,N
807,807,8OKF,4TAG0594,ACTIVE,Global Evolution Enterprises,VBCW,2000-01-21,2010-12-04,,XRA,3,N,N,N
990,990,3UFG,3UFG0990,ACTIVE,Global Inspiration Solutions,VBCW,1999-05-11,2019-03-12,,ZKV,1,N,N,N
557,557,5MME,0BAJ0830,CLOSED,Proactive Creative Co,VCKM,2014-12-25,2021-03-28,2022-02-16,XRA,3,N,N,N
509,509,2RPP,2RPP0509,HISTORY,Proactive Digital Solutions,HAYQ,1991-06-26,1998-08-31,1990-02-07,ZKV,3,Y,Y,N
438,438,6VPA,6VPA0438,ACTIVE,Flexible Evolution Corp,VBCW,2007-07-09,2008-05-24,,ZKV,4,N,N,N
909,909,4QTQ,4QTQ0909,ACTIVE,Superior Ingenious Systems,UANS,2003-03-09,2021-09-20,2001-03-21,TXS,2,Y,Y,Y
530,530,5JDF,5JDF0530,ACTIVE,Dynamic Tech Enterprises,HAYQ,2019-03-13,2022-01-26,,ZKV,1,N,N,N
835,835,6BWI,6BWI0835,CLOSED,,HAYQ,1996-09-30,2020-05-21,2022-03-31,TXS,2,N,N,N
545,545,2HCD,2HCD0545,ACTIVE,Dynamic First Consulting,UANS,1998-01-28,2022-09-28,,ZKV,2,N,N,N
838,838,3RSC,5NZM0848,ACTIVE,Omega Synergy Consulting,VBCW,2013-06-29,2017-10-05,1994-02-07,XRA,5,Y,Y,Y
691,691,1SYL,3VCB0003,CLOSED,,HAYQ,2011-03-24,2022-07-16,2023-09-20,TXS,4,N,N,N
129,129,3MSD,3MSD0129,ACTIVE,Tech Strive Solutions,VBCW,1990-09-21,2002-10-05,,ZKV,3,N,N,N
512,512,8EQF,8EQF0512,ACTIVE,Alpha Synergistic Solutions,XEXM,2016-10-28,2021-12-23,,TXS,4,N,N,N
585,585,8LBM,8LBM0585,ACTIVE,Global Vision Enterprises,GLKB,2022-12-30,2024-01-15,,XRA,1,N,N,N
847,847,0USW,0USW0847,ACTIVE,Dynamic Smart Technologies,XEXM,2008-10-04,2011-12-10,,ZKV,0,N,N,N
529,529,3XSH,3XSH0529,ACTIVE,,YAKT,1994-07-19,2002-01-07,,TXS,1,N,N,N
308,308,7QUK,9HOI0029,HISTORY,Swift Inspire Labs,VBCW,2022-08-23,2023-04-23,2023-10-17,TXS,5,N,N,N
96,96,3EZT,3EZT0096,ACTIVE,Visionary Strive Enterprises,HERA,1996-07-15,1998-09-04,1993-01-04,ZKV,2,Y,Y,Y
879,879,6INB,6WZX0187,HISTORY,Ultimate Strategic Dynamics,YAKT,2019-07-19,2023-03-17,2023-10-19,ZKV,3,N,N,N
377,377,2YZP,5MSU0058,ACTIVE,Flexible Visionary Industries,UANS,1991-05-19,1998-05-11,,XRA,4,N,N,N
777,777,5RPJ,5RPJ0777,ACTIVE,,UANS,1998-05-22,2021-03-26,,XRA,2,N,N,N
530,530,6SIW,6SIW0530,ACTIVE,Global Creative Enterprises,VBCW,1992-02-10,1998-07-31,,TXS,4,N,N,N
154,154,0EIN,0MCI0589,ACTIVE,Omega First Group,HERA,2011-10-14,2024-01-04,,ZKV,3,N,N,N
7,7,3KAJ,3KAJ0007,ACTIVE,,XEXM,1999-04-15,2003-01-11,,ZKV,4,N,N,N
367,367,4ENN,4ENN0367,ACTIVE,Omega Strategic Co,VBCW,2003-09-26,2022-01-22,,XRA,2,N,N,N
10,10,8PSA,8PSA0010,ACTIVE,Dynamic First Solutions,HAYQ,2023-04-30,2023-09-07,,XRA,4,N,N,N
927,927,1VSM,1VSM0927,CLOSED,Innovative First Co,GLKB,1991-08-20,2014-04-24,1990-10-26,TXS,1,Y,Y,N
602,602,6UBV,6UBV0602,HISTORY,Elite Evolution Group,YAKT,2021-01-15,2021-08-09,2022-01-28,ZKV,4,N,N,N
698,698,8PWZ,9BDC0794,ACTIVE,Swift Cutting-Edge Enterprises,HERA,2012-06-06,2016-01-24,,XRA,5,N,N,N
421,421,7GBM,7GBM0421,ACTIVE,Strategic Dynamic Technologies,YAKT,1993-04-07,2022-03-30,,XRA,1,N,N,N
485,485,2GDO,2GDO0485,ACTIVE,Elite Inspire Technologies,VCKM,2018-02-05,2022-04-13,2004-11-18,TXS,1,Y,Y,Y
810,810,0XGZ,0XGZ0810,ACTIVE,Alpha Advanced Solutions,UANS,1994-09-06,2023-04-25,,TXS,0,N,N,N
871,871,1GTY,1GTY0871,ACTIVE,Flexible Sustainable Solutions,VBCW,1995-08-08,2021-09-15,1993-09-23,XRA,5,Y,Y,Y
670,670,6GEK,9KYS0985,ACTIVE,Mega Global Co,XEXM,1995-04-17,2023-08-23,,TXS,4,N,N,N
849,849,5MPX,5MPX0849,ACTIVE,Infinite Power Services,YAKT,2021-04-19,2021-10-09,,TXS,4,N,N,N
552,552,5ZCA,5ZCA0552,ACTIVE,Infinite Impactful Dynamics,VCKM,2008-06-14,2011-09-17,,XRA,5,N,N,N
823,823,0KUM,0KUM0823,CLOSED,,GLKB,1998-12-15,1999-06-13,2003-07-15,TXS,5,N,N,N
996,996,8QCN,1MXE0985,CLOSED,Swift Global Technologies,VBCW,1994-12-29,,1994-11-13,ZKV,5,N,Y,N
230,230,9PGQ,6IYY0439,ACTIVE,Tech Evolve Technologies,WASB,1994-02-02,,,XRA,2,N,N,N
167,167,3XYQ,3XYQ0167,CLOSED,Visionary Power Enterprises,VBCW,2016-10-08,2022-03-28,2023-01-16,XRA,2,N,N,N
744,744,9HDT,9HDT0744,ACTIVE,Global Ingenious Dynamics,YAKT,2019-08-20,2023-04-08,,XRA,1,N,N,N
587,587,6YYX,6YYX0587,ACTIVE,Prime Innovative Solutions,VCKM,2004-05-15,2019-05-04,,TXS,1,N,N,N
101,101,0YTZ,0YTZ0101,ACTIVE,Excellent Forward Labs,XEXM,2022-10-28,2023-03-14,,XRA,4,N,N,N
859,859,5LHX,0DLO0928,CLOSED,Fusion Progressive Innovations,XEXM,2009-09-24,2012-07-02,2020-01-11,TXS,1,N,N,N
141,141,8NAQ,8NAQ0141,ACTIVE,Superior Impactful Dynamics,UANS,2004-01-01,,,XRA,4,N,N,N
263,263,2SSW,7IMT0823,ACTIVE,Creative Transformative Co,WASB,2011-11-20,2017-03-24,,XRA,2,N,N,N
386,386,3QNA,3QNA0386,ACTIVE,Brilliant Future Enterprises,YAKT,2010-01-16,2016-06-09,,ZKV,3,N,N,N
830,830,0DXA,0DXA0830,ACTIVE,Epic Inspiration Industries,XEXM,2021-07-13,2022-10-05,,TXS,1,N,N,N
252,252,2IUJ,2IUJ0252,ACTIVE,Ultimate Visionary Systems,VBCW,1997-08-03,2021-01-28,,ZKV,5,N,N,N
345,345,4ZFN,7IDU0561,ACTIVE,Vibrant First Innovations,XEXM,2004-06-22,2018-10-16,,XRA,0,N,N,N
35,35,5GRD,5GRD0035,ACTIVE,Tech Strive Corp,GLKB,2007-07-26,2014-08-23,,XRA,1,N,N,N
648,648,6OWZ,6OWZ0648,ACTIVE,Diverse Strive Innovations,WASB,2018-03-19,2020-09-21,,XRA,1,N,N,N
531,531,6DJA,6DJA0531,ACTIVE,Vibrant Vision Solutions,HERA,2015-08-23,2019-02-25,,XRA,3,N,N,N
49,49,5VHS,6LKK0444,ACTIVE,,UANS,2019-03-29,2020-03-18,,TXS,4,N,N,N
989,989,8GUX,8GUX0989,HISTORY,Diverse Revolutionary Enterprises,HAYQ,2024-01-17,2024-01-26,2024-01-26,XRA,0,N,N,N
875,875,6YTG,9WDK0921,ACTIVE,Infinite First Solutions,VBCW,1994-02-16,2012-02-13,,XRA,1,N,N,N
81,81,4UJN,5CCC0344,ACTIVE,Creative Vision Services,HAYQ,2003-06-28,2006-06-04,,ZKV,4,N,N,N
664,664,6KTM,6KTM0664,ACTIVE,Proactive Digital Enterprises,WASB,2004-11-15,2006-04-27,2003-03-22,ZKV,1,Y,Y,Y
243,243,7KAW,6PRR0403,HISTORY,Visionary Forward Solutions,HERA,1997-05-06,,1994-02-25,ZKV,0,N,Y,N
699,699,1PRY,1PRY0699,ACTIVE,Mega Synergistic Consulting,GLKB,2018-07-20,2020-02-07,,TXS,1,N,N,N
949,949,9UAU,9UAU0949,ACTIVE,Mega Digital Enterprises,WASB,1994-08-03,2011-10-15,,ZKV,0,N,N,N
269,269,7VDQ,6RCL0413,ACTIVE,Dynamic Visionary Technologies,WASB,2023-04-27,2023-07-07,,XRA,0,N,N,N
542,542,6WDY,6WDY0542,ACTIVE,Epic Power Labs,VCKM,2015-06-30,,,ZKV,5,N,N,N
432,432,7RRL,7RRL0432,ACTIVE,,WASB,1990-12-25,2010-04-20,,XRA,0,N,N,N
477,477,7JZU,4TBS0512,ACTIVE,Global Strive Consulting,UANS,1991-12-25,2009-05-22,,TXS,0,N,N,N
592,592,2CHB,2CHB0592,ACTIVE,Omega Dynamic Innovations,UANS,2005-06-28,2013-11-15,,ZKV,3,N,N,N
429,429,4KNN,4KNN0429,ACTIVE,Apex Vision Solutions,UANS,1991-06-04,1999-04-29,,ZKV,4,N,N,N
787,787,1FPF,4ENN0367,CLOSED,Visionary Vision Enterprises,HERA,2001-12-27,2005-12-26,2010-10-27,TXS,5,N,N,N
841,841,1WGJ,1WGJ0841,HISTORY,,XEXM,2018-10-02,2020-08-13,1995-03-06,TXS,0,Y,Y,N
401,401,6PTM,9LWT0461,ACTIVE,Ultimate Digital Solutions,YAKT,2015-12-11,2023-08-26,,TXS,4,N,N,N
482,482,6IXT,6IXT0482,ACTIVE,Brilliant Synergy Consulting,HERA,1997-05-30,2014-02-22,,ZKV,2,N,N,N
92,92,8MUD,5CCC0344,ACTIVE,,XEXM,2016-01-19,2022-09-13,,XRA,0,N,N,N
413,413,6RCL,0LCW0802,ACTIVE,Proactive Global Consulting,WASB,2005-03-02,2023-06-20,,XRA,0,N,N,N
125,125,5ZLM,5ZLM0125,ACTIVE,Innovative Evolve Dynamics,WASB,1992-11-26,2013-04-06,,XRA,1,N,N,N
372,372,5AXS,5AXS0372,ACTIVE,Ultimate Future Technologies,VCKM,2020-11-02,2021-05-13,,TXS,0,N,N,N
53,53,2DVD,2DVD0053,ACTIVE,Superior Power Enterprises,VCKM,1995-07-26,2004-09-13,,ZKV,5,N,N,N
794,794,9BDC,4FEE0867,ACTIVE,Epic Advanced Consulting,VCKM,2023-12-21,2024-01-05,,TXS,2,N,N,N
798,798,1KLO,1KLO0798,HISTORY,Ultimate Strive Systems,VCKM,2010-11-02,2021-01-30,2022-09-20,XRA,3,N,N,N
20,20,6DPU,6DPU0020,ACTIVE,Apex Creative Consulting,YAKT,2013-07-11,2015-06-26,,ZKV,3,N,N,N
70,70,8YWE,8YWE0070,ACTIVE,Elite Revolutionary Enterprises,WASB,1990-04-03,2004-05-29,,TXS,0,N,N,N
455,455,4WTA,4WTA0455,HISTORY,Alpha Dynamic Consulting,VBCW,2013-06-01,2021-04-03,2021-08-28,XRA,1,N,N,N
